correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answer	question
Johann Sebastian Bach	multiple choice	audio	bach_allegro.mp3	"Johannes Brahms, Frederic Chopin, Jules Massenet, Johann Sebastian Bach, Carl Orff"	TRUE	Who composed this piece ?
Edvard Grieg	multiple choice	audio	grieg_morning_mood.mp3	"Piotr Ilyich Tchaikovsky, Johann Sebastian Bach, Johann Strauss II, Edvard Grieg, Wolfgang Amadeus Mozart"	TRUE	Who composed this piece ?
Richard Wagner	multiple choice	audio	wagner_valkyries.mp3	"Johann Sebastian Bach, Richard Wagner, Carl Orff, Wolfgang Amadeus Mozart, Frederic Chopin"	TRUE	Who composed this piece ?
Ludwig van Beethoven	multiple choice	audio	beethoven_fur_elise.mp3	"Ludwig van Beethoven, Frederic Chopin, Wolfgang Amadeus Mozart, Johann Strauss II, Claude Debussy"	TRUE	Who composed this piece ?
Ludwig van Beethoven	multiple choice	audio	beethoven_moonlight_sonata.mp3	"Johann Sebastian Bach, Claude Debussy, Frederic Chopin, Antonio Vivaldi, Ludwig van Beethoven"	TRUE	Who composed this piece ?
Antonio Vivaldi	multiple choice	audio	vivaldi_four_seasons.mp3	"Richard Wagner, Edvard Grieg, Antonio Vivaldi, Wolfgang Amadeus Mozart, Johann Sebastian Bach"	TRUE	Who composed this piece ?
Claude Debussy	multiple choice	audio	debussy_claire_de_lune.mp3	"Edvard Grieg, Wolfgang Amadeus Mozart, Richard Wagner, Jules Massenet, Claude Debussy"	TRUE	Who composed this piece ?
Piotr Ilyich Tchaikovsky	multiple choice	audio	tchaikovsky_swan_lake.mp3	"Antonio Vivaldi, Piotr Ilyich Tchaikovsky, Ludwig van Beethoven, Jules Massenet, George Frideric Handel"	TRUE	Who composed this piece ?
Frederic Chopin	multiple choice	audio	chopin_nocturnes.mp3	"Claude Debussy, Frederic Chopin, Ludwig van Beethoven, Edvard Grieg, Piotr Ilyich Tchaikovsky"	TRUE	Who composed this piece ?
Johann Sebastian Bach	multiple choice	audio	bach_air.mp3	"Edvard Grieg, Johann Sebastian Bach, Ludwig van Beethoven, George Frideric Handel, Piotr Ilyich Tchaikovsky"	TRUE	Who composed this piece ?
Johannes Brahms	multiple choice	audio	brahms_hungarian_dance.mp3	"George Frideric Handel, Johannes Brahms, Wolfgang Amadeus Mozart, Piotr Ilyich Tchaikovsky, Johann Sebastian Bach"	TRUE	Who composed this piece ?
Wolfgang Amadeus Mozart	multiple choice	audio	mozart_symphony_40_I.mp3	"Ludwig van Beethoven, Piotr Ilyich Tchaikovsky, Wolfgang Amadeus Mozart, Edvard Grieg, Carl Orff"	TRUE	Who composed this piece ?
Jules Massenet	multiple choice	audio	massenet_meditation.mp3	"Frederic Chopin, Wolfgang Amadeus Mozart, Jules Massenet, Johannes Brahms, Johann Strauss II"	TRUE	Who composed this piece ?
Carl Orff	multiple choice	audio	orff_fortuna.mp3	"Carl Orff, Claude Debussy, Piotr Ilyich Tchaikovsky, Antonio Vivaldi, Ludwig van Beethoven"	TRUE	Who composed this piece ?
Wolfgang Amadeus Mozart	multiple choice	audio	mozart_alla_turca.mp3	"Wolfgang Amadeus Mozart, Carl Orff, Ludwig van Beethoven, Johann Sebastian Bach, Frederic Chopin"	TRUE	Who composed this piece ?
George Frideric Handel	multiple choice	audio	handel_messiah.mp3	"George Frideric Handel, Johannes Brahms, Carl Orff, Piotr Ilyich Tchaikovsky, Frederic Chopin"	TRUE	Who composed this piece ?
Ludwig van Beethoven	multiple choice	audio	beethoven_symphony_5.mp3	"Wolfgang Amadeus Mozart, Edvard Grieg, Carl Orff, Jules Massenet, Ludwig van Beethoven"	TRUE	Who composed this piece ?
Wolfgang Amadeus Mozart	multiple choice	audio	mozart_piano_concerto_21.mp3	"Edvard Grieg, Antonio Vivaldi, Frederic Chopin, Jules Massenet, Wolfgang Amadeus Mozart"	TRUE	Who composed this piece ?
Wolfgang Amadeus Mozart	multiple choice	audio	mozart_overture.mp3	"Claude Debussy, Edvard Grieg, Wolfgang Amadeus Mozart, Antonio Vivaldi, Richard Wagner"	TRUE	Who composed this piece ?
Johann Strauss II	multiple choice	audio	strauss_danube.mp3	"Johannes Brahms, Frederic Chopin, Wolfgang Amadeus Mozart, Antonio Vivaldi, Johann Strauss II"	TRUE	Who composed this piece ?
