correct_answer	answer_type	asset_type	asset	possible_answers	randomize_answers	question
Labrador Retriever	multiple choice	image	dog1.png	" Brittany, Bullmastiff, Golden Retreiver, Jack Russell Terrier, Labrador Retriever"	TRUE	What is the breed of this dog?
Maltese	multiple choice	image	dog2.png	" Bichon Frise, Griffon Bruxellois , Maltese, Pomeranian, Weimaraner"	TRUE	What is the breed of this dog?
Cocker Spaniel	multiple choice	image	dog3.png	" Boston Terrier, Cocker Spaniel, Dalmatian, German Shorthaired Pointer, Shetland Sheepdog"	TRUE	What is the breed of this dog?
German Shepherd	multiple choice	image	dog4.png	" Curly Coated Retriever, German Shepherd, Great Dane, Mastiff, Rottweiler"	TRUE	What is the breed of this dog?
Yorkshire Terrier	multiple choice	image	dog5.png	" Bloodhound, Havanese, Labrador Retriever, Maltese, Yorkshire Terrier"	TRUE	What is the breed of this dog?
Doberman	multiple choice	image	dog6.png	" Dachshund, Doberman, Fox Terrier, German Shepherd, Rottweiler"	TRUE	What is the breed of this dog?
Great Dane	multiple choice	image	dog7.png	" Bullmastiff, Cairn Terrier, Great Dane, Havanese, St. Bernard"	TRUE	What is the breed of this dog?
Dachshund	multiple choice	image	dog8.png	" Basset Hound, Boxer, Collie, Dachshund, Norwich Terrier"	TRUE	What is the breed of this dog?
Golden Retriever	multiple choice	image	dog9.png	" Bloodhound, Chow Chow, English Springer Spaniel, Golden Retriever, Labrador Retriever"	TRUE	What is the breed of this dog?
Poodle	multiple choice	image	dog10.png	" Chow Chow, Lhasa Apso, Maltese, Pomeranian, Poodle"	TRUE	What is the breed of this dog?
Pug	multiple choice	image	dog11.png	" Boxer, Bulldog, Chihuahua, Pug, Tibetan Spaniel"	TRUE	What is the breed of this dog?
Pomeranian	multiple choice	image	dog12.png	" Bichon Frise, Lhasa Apso, Pekingese, Pomeranian, Portuguese Water Dog"	TRUE	What is the breed of this dog?
Rottweiler	multiple choice	image	dog13.png	" Anatolian Shepherd, Doberman, Great Dane, Mastiff, Rottweiler"	TRUE	What is the breed of this dog?
St. Bernard	multiple choice	image	dog14.png	" Boston Terrier, Collie, Labrador Retriever, St. Bernard, Whippet"	TRUE	What is the breed of this dog?
Beagle	multiple choice	image	dog15.png	" Basset Hound, Beagle, Bernese Mountain Dog, Boxer, Miniature Schnauzer"	TRUE	What is the breed of this dog?
Chihuahua	multiple choice	image	dog16.png	" Chihuahua, Miniature Pinscher, Miniature Schnauzer, Shih Tzu, Vizslas"	TRUE	What is the breed of this dog?
Boxer	multiple choice	image	dog17.png	" Bichon Frise, Boston Terrier, Boxer, English Mastiff, English Springer Spaniel"	TRUE	What is the breed of this dog?
Siberian Husky	multiple choice	image	dog18.png	" Alaskan Malamute, Dachshund, German Shepherd, Siberian Husky, St. Bernard"	TRUE	What is the breed of this dog?
Dalmatian	multiple choice	image	dog19.png	" Belgian Shepherd, Dalmatian, Great Dane, Irish Wolfhound, Silky Terrier"	TRUE	What is the breed of this dog?
Bulldog	multiple choice	image	dog20.png	" Boston Terrier, Boxer, Bull Terrier, Bulldog, Irish Wolfhound"	TRUE	What is the breed of this dog?
