correct_answer	answer_type	asset_type	asset	possible_answers	randomize_answers
1-3-2-5-4	multiple choice	none	none	1-3-2-5-4 , 5-3-4-2-1 , 3-4-5-2-1 , 5-1-3-4-2	true
5-1-4-3-2	multiple choice	none	none	5-1-4-3-2 , 1-3-4-5-2 , 4-3-1-5-2 , 4-1-5-2-3	true
3-2-4-5-1	multiple choice	none	none	3-2-4-5-1 , 5-4-3-1-2 , 1-5-3-4-2 , 2-5-1-4-3	true
1-3-4-2-5	multiple choice	none	none	1-3-4-2-5 , 1-3-5-4-2 , 1-5-2-3-4 , 1-2-4-3-5	true
1-3-2-5-4	multiple choice	none	none	1-3-2-5-4 , 3-5-4-1-2 , 3-5-4-2-1 , 2-3-1-4-5	true
1-2-4-5-3	multiple choice	none	none	1-2-4-5-3 , 3-4-5-1-2 , 5-3-2-4-1 , 2-3-4-1-5	true
5-1-4-2-3	multiple choice	none	none	5-1-4-2-3 , 4-5-1-2-3 , 2-4-1-5-3 , 5-2-1-4-3	true
5-1-4-2-3	multiple choice	none	none	5-1-4-2-3 , 3-4-2-5-1 , 5-1-3-2-4 , 4-5-2-3-1	true
2-1-5-3-4	multiple choice	none	none	2-1-5-3-4 , 3-4-2-1-5 , 1-2-5-4-3 , 5-3-1-4-2	true
3-4-5-1-2	multiple choice	none	none	3-4-5-1-2 , 4-2-5-3-1 , 4-3-1-5-2 , 3-4-2-5-1	true
5-2-3-1-4	multiple choice	none	none	5-2-3-1-4 , 4-1-2-3-5 , 5-2-4-1-3 , 1-2-3-5-4	true
3-5-1-2-4	multiple choice	none	none	3-5-1-2-4 , 3-5-4-1-2 , 1-5-4-2-3 , 2-1-4-5-3	true
4-2-3-5-1	multiple choice	none	none	4-2-3-5-1 , 5-1-3-2-4 , 5-4-3-1-2 , 5-2-3-1-4	true
3-2-5-4-1	multiple choice	none	none	3-2-5-4-1 , 2-5-1-3-4 , 4-1-3-5-2 , 4-2-1-5-3	true
5-2-3-4-1	multiple choice	none	none	5-2-3-4-1 , 3-5-1-4-2 , 3-2-4-5-1 , 3-2-1-5-4	true
4-5-3-2-1	multiple choice	none	none	4-5-3-2-1 , 4-2-3-5-1 , 1-3-4-2-5 , 2-5-3-4-1	true
2-3-5-1-4	multiple choice	none	none	2-3-5-1-4 , 3-5-2-1-4 , 4-2-5-3-1 , 5-1-3-4-2	true
2-4-5-3-1	multiple choice	none	none	2-4-5-3-1 , 2-1-4-3-5 , 2-3-4-1-5 , 1-3-4-2-5	true
2-3-5-4-1	multiple choice	none	none	2-3-5-4-1 , 3-1-4-5-2 , 5-1-2-4-3 , 1-3-2-5-4	true
4-5-3-1-2	multiple choice	none	none	4-5-3-1-2 , 2-4-1-5-3 , 2-4-1-3-5 , 5-1-4-2-3	true
