correct_answer	answer_type	asset_type	asset_file	possible_answers	randomize_answer	question
93	point estimate	image	1.jpg	no answers	FALSE	What is the height of the landmark?
301	point estimate	image	2.jpg	no answers	FALSE	What is the height of the landmark?
99	point estimate	image	67.jpg	no answers	FALSE	What is the height of the landmark?
830	point estimate	image	19.jpg	no answers	FALSE	What is the height of the landmark?
88	point estimate	image	22.jpg	no answers	FALSE	What is the height of the landmark?
96	point estimate	image	9.jpg	no answers	FALSE	What is the height of the landmark?
137	point estimate	image	39.jpg	no answers	FALSE	What is the height of the landmark?
36	point estimate	image	42.jpg	no answers	FALSE	What is the height of the landmark?
139	point estimate	image	5.jpg	no answers	FALSE	What is the height of the landmark?
42	point estimate	image	69.jpg	no answers	FALSE	What is the height of the landmark?
73	point estimate	image	7.jpg	no answers	FALSE	What is the height of the landmark?
553	point estimate	image	64.jpg	no answers	FALSE	What is the height of the landmark?
48	point estimate	image	44.jpg	no answers	FALSE	What is the height of the landmark?
65	point estimate	image	40.jpg	no answers	FALSE	What is the height of the landmark?
105	point estimate	image	55.jpg	no answers	FALSE	What is the height of the landmark?
56	point estimate	image	65.jpg	no answers	FALSE	What is the height of the landmark?
26	point estimate	image	15.jpg	no answers	FALSE	What is the height of the landmark?
70	point estimate	image	48.jpg	no answers	FALSE	What is the height of the landmark?
55	point estimate	image	14.jpg	no answers	FALSE	What is the height of the landmark?
84	point estimate	image	61.jpg	no answers	FALSE	What is the height of the landmark?
