correct_answer	answer_type	asset_type	asset	possible_answers	randomize_answers
divergence	multiple choice	text	question1.txt	divergence,erro,heterogeneity,imperfection,unorthodox	true
accede	multiple choice	text	question2.txt	accede,acquire,clone,fulfill,respect	true
pacify	multiple choice	text	question3.txt	diminish,humour,mitigate,pacify,thrill	true
blatant	multiple choice	text	question4.txt	abusive,blatant,bold,flaring,nosy	true
coax	multiple choice	text	question5.txt	acccess,betray,coax,hook,test	true
frankness	multiple choice	text	question6.txt	accurcy,artlessness,exactness,frankness,plainness	true
acquaintance	multiple choice	text	question7.txt	acquaintance,bold,companion,expectant,native	true
cheapen	multiple choice	text	question8.txt	cheapen,confuse,incapacitate,settle,tire	true
careful	multiple choice	text	question9.txt	academic,active,busy,careful,strenous,tenacious	true
loot	multiple choice	text	question10.txt	appropriate,convinient,harm,lift,loot	true
knowledgeable	multiple choice	text	question11.txt	cultured,familiarized,knowledgeable,polished,thoughtful	true
ferocious	multiple choice	text	question12.txt	bent,ferocious,primitive,relentless,rude	true
craving	multiple choice	text	question13.txt	ability,affection,appeal,avidity,craving	true
discourteous	multiple choice	text	question14.txt	analytical,discourteous,forward,fresh,snooping	true
lazy	multiple choice	text	question15.txt	careless,creeping,lazy,slow,useless	true
addicted	multiple choice	text	question16.txt	addicted,constant,devoted,lasting,rooted	true
bell	multiple choice	text	question17.txt	arena,bell,recall,toll,vigorous	true
flexible	multiple choice	text	question18.txt	docile,flexible,jovial,plastic,scanty	true
cranky	multiple choice	text	question19.txt	bluff,clashing,cranky,flat,small	true
top	multiple choice	text	question20.txt	altitude,head,noon,top,vertex	true
